Source,Target,Weight
1593,206,2
210,1012,1
1739,1756,1
1012,1979,7
1015,1845,2
212,1587,3
1770,1015,2
1544,124,1
890,1729,2
353,1010,1
1117,211,4
354,1964,1
209,1595,4
1979,211,1
1767,90,1
2014,2016,1
206,1760,33
1012,1618,9
1755,1933,5
1607,890,1
1728,209,5
1012,1767,28
1113,206,8
1683,124,1
1821,1587,12
354,96,1
1968,210,1
1979,1958,1
1919,1012,2
90,1730,1
211,1944,5
1821,90,1
1750,1756,1
211,1967,5
1845,1012,6
1010,1013,5
1010,1113,4
1767,1739,1
209,1962,2
1564,1758,1
2014,1588,3
220,209,6
1538,1575,1
207,1012,1
1618,1614,2
2024,1737,3
1015,1840,1
1015,1740,1
208,1760,11
1757,1982,1
1736,1965,1
354,1816,2
353,209,3
1934,890,2
1760,208,11
124,1619,1
1755,1922,4
1821,1810,1
1770,1010,9
1767,1977,1
1113,1595,1
1758,1969,1
1012,1917,1
890,1538,1
1768,890,2
1588,353,1
1983,219,1
93,1968,1
96,1754,1
93,96,8
213,1758,9
93,1768,1
1758,211,1
1010,1834,3
1728,1984,2
1587,689,2
208,209,23
1738,1979,1
1015,2009,1
121,90,1
204,1587,15
1012,1616,1
1771,1564,1
1821,2016,4
209,1953,1
1845,1533,1
1588,1844,1
1729,1977,2
210,689,1
1588,1821,12
1619,1738,1
1754,1758,3
1728,1967,1
1964,354,2
1010,1728,4
1737,1806,1
1922,890,1
1010,1751,1
90,1117,1
1589,1983,1
1771,1011,2
96,1731,1
689,428,1
1741,1012,11
1736,1590,1
1738,1816,2
1536,1103,1
1982,1758,2
1728,1117,1
1012,1593,1
1845,90,1
1736,354,1
213,1735,1
1772,1768,2
209,1730,49
428,1954,1
1950,1015,1
1587,1980,1
1015,1557,1
1589,1845,1
93,1845,1
212,1754,1
1589,2014,14
1544,1545,1
209,213,3
1012,1977,7
1840,1773,1
1118,1959,1
1113,204,1
93,2014,2
209,1593,1
432,1587,1
1750,90,1
90,1767,2
211,353,1
207,1590,1
1762,1816,1
354,1756,1
1117,206,4
1564,209,1
1590,1589,5
1734,354,3
1738,1965,1
1587,211,1
124,93,9
1619,1741,2
2014,1974,1
211,1758,45
1773,1921,3
1730,209,1
1908,1108,1
1770,1929,1
1771,124,1
1589,354,33
1845,1613,2
1983,354,5
1767,1012,35
1762,1974,1
206,1967,1
1729,211,1
2014,1015,3
1771,1770,2
1545,1749,1
90,1821,5
1933,1012,2
1015,1754,3
1113,1589,2
1754,1964,1
2016,1012,5
124,208,1
1613,1614,1
1605,124,1
1908,890,1
1758,1983,2
1010,1840,1
93,1962,1
1736,428,1
1728,1735,1
1618,206,2
1683,1618,2
1762,1982,2
1589,1977,1
1739,1980,4
1728,1961,4
1821,210,2
1909,1012,1
1821,1590,2
1010,1674,2
210,1754,30
90,1758,2
1755,1553,1
1729,1762,2
1684,1012,1
213,1589,4
1614,2044,7
1012,211,2
213,1729,22
1813,890,1
1587,1010,15
209,1976,1
1010,1768,12
90,1741,1
1758,1757,2
90,1844,1
1921,1012,2
1738,1810,1
213,209,1
1012,219,1
1015,1935,9
1762,1965,2
1982,1618,1
93,1012,2
1736,90,1
209,1756,52
1729,1731,2
206,1944,3
1015,1010,14
1773,1772,1
1012,1536,1
1619,1615,1
1010,1588,1
1589,1012,11
1010,1980,3
1962,354,2
1012,1771,8
1588,1595,1
1738,1982,2
1010,1737,1
354,1968,4
1012,2014,15
1736,1977,3
689,208,1
1935,90,1
1534,1845,1
1117,1010,4
1728,1964,6
124,1845,2
890,207,1
1587,1591,7
204,210,6
1553,1756,1
1012,1974,3
1010,1823,4
1605,1607,1
1984,1729,1
1012,354,1
96,890,3
1590,209,6
1012,1751,1
1103,2041,1
1738,1813,1
2014,1845,2
206,1589,59
1588,2016,1
1589,1980,2
2016,93,1
1834,1010,2
1810,211,1
1980,207,1
388,1754,2
1770,1935,2
890,1758,2
209,353,5
1595,1589,1
1729,354,67
1908,1909,4
1737,206,1
1750,1845,1
1969,354,1
211,1595,6
209,1590,67
1821,1736,1
1010,211,3
1923,121,1
1767,1728,2
1768,1921,1
1010,1977,5
2033,122,1
1619,124,1
1755,1934,4
1590,1967,2
2021,1771,1
211,1979,2
1823,1950,4
2014,96,1
1771,1976,1
1536,124,1
210,1760,11
1590,1592,1
1845,1015,1
1118,1810,1
209,1982,1
1909,1979,1
93,1756,5
1934,2021,1
90,1564,1
211,1964,1
210,211,13
2014,211,2
1607,124,1
1955,1010,3
1771,1117,1
1589,689,2
1592,206,2
1103,1909,1
1015,1929,1
2044,1103,1
1108,1832,1
1980,1587,3
90,121,1
124,1015,4
1934,1010,1
210,1983,1
354,1982,3
210,1010,1
1738,1976,4
1012,1553,1
1012,1934,2
90,207,1
1010,1923,2
1587,1737,1
96,1771,4
1728,1732,3
689,354,8
90,1618,2
1821,1976,2
1769,1012,11
1762,219,1
1010,1771,19
209,1979,1
1010,1748,2
1738,207,2
1729,1980,1
353,1738,1
1740,124,1
1015,1734,1
1944,1589,1
207,354,10
1755,1015,1
1616,2044,11
1748,1012,2
1921,90,1
206,1595,2
2024,1113,1
1739,1983,2
1103,1010,1
1113,1117,1
1741,1616,2
1012,1845,6
1593,353,1
213,1732,6
1767,1015,13
1921,1015,3
1108,1921,1
1010,1614,7
93,1590,2
90,124,10
206,1729,1
1616,209,1
890,1767,1
890,121,1
1015,206,4
2024,1010,2
1731,1762,1
219,354,3
93,208,3
1923,1919,1
93,1015,2
1592,209,1
1012,1980,1
122,211,1
213,1944,5
1015,890,6
354,1979,2
1922,1923,3
1982,1921,1
2016,1845,1
215,1729,4
1736,1012,2
93,90,1
1976,1012,1
211,1973,1
1012,1619,4
1964,2014,1
1545,1108,1
1010,1983,3
96,1760,1
90,1770,1
1012,96,3
1588,1592,1
1012,1768,3
211,210,3
1015,1760,3
204,353,5
1741,1845,4
210,432,1
1760,689,1
1618,1010,13
1754,430,1
124,96,1
1015,1923,3
1616,890,4
1737,209,2
387,1587,4
2016,90,1
1012,1015,21
1589,208,7
1977,1589,1
2014,1012,47
209,1587,3
1580,1840,1
1728,1973,3
1762,213,1
1769,210,1
1590,206,4
1012,1908,2
2016,1736,1
353,1967,1
1984,206,1
1770,1823,4
1739,211,1
1935,124,2
206,1964,1
354,90,2
1012,1728,1
694,1754,1
1553,1919,1
1923,124,1
1604,890,1
1103,1832,1
1950,1754,1
93,1816,1
1589,428,2
1011,1950,5
1731,1730,1
1933,1015,1
1935,1015,13
208,1844,1
1767,1923,1
2016,1010,1
1544,209,1
1113,1587,1
1590,213,3
90,1922,1
206,219,1
388,1589,8
1103,1108,1
1767,1754,1
1590,1587,4
1844,1117,1
354,1731,1
1728,1968,3
209,1762,44
1757,354,8
1588,93,1
1771,1012,13
90,1845,2
1614,1012,2
1589,1769,1
1012,1740,1
124,1757,1
1908,124,1
1015,1732,1
1590,1595,1
890,96,1
1967,1589,1
1762,1757,1
1965,1976,1
1589,1823,1
1767,1010,13
1618,2044,2
2014,206,4
210,206,2
1728,1976,6
209,1731,50
1012,1909,2
1953,1967,1
1590,1979,2
1845,122,1
354,1977,1
1015,1011,1
1619,1616,4
1619,1118,1
1590,1810,1
1737,1976,3
93,1754,4
1955,1589,1
211,1736,1
124,890,5
1820,1117,1
1588,1590,1
1587,2024,1
1821,689,1
1010,1589,2
1735,213,1
90,96,6
1923,1015,6
90,1768,2
1728,210,1
207,689,1
1010,206,1
93,1760,3
1760,432,1
1545,1103,1
304,1754,1
1754,353,39
1117,1821,1
211,1968,4
1108,124,1
1614,90,2
1762,1980,5
1771,90,5
2014,1113,1
1821,1012,47
1589,1591,5
93,211,4
90,1015,8
890,1762,1
93,1731,2
1750,1980,1
387,1977,1
1979,1821,2
1760,209,4
93,1983,1
1010,1912,1
213,1587,4
1618,1615,1
209,1754,1
1728,219,1
1954,1012,5
1950,1823,2
122,1729,1
206,213,1
1739,209,2
1739,1758,1
1821,388,1
1965,1767,1
1768,121,2
1012,1557,1
1922,1924,1
1755,1923,2
1976,1734,1
1103,1767,1
1909,1845,1
1589,1806,1
890,1845,2
1589,1010,11
1117,209,3
1751,1981,1
208,353,29
208,1592,2
1950,1760,1
1591,354,2
1921,1923,7
388,206,5
1536,1762,1
694,1760,1
90,2014,7
1738,1980,1
1010,1935,4
1755,1771,1
